Watchlist 'NYSE',,,,
,,,,
NYSE,,,,
Symbol,Last,%Change,Bid,Ask
FSR,28.5,32.07%,27.95,28.1
SEM,31.65,18.45%,31.2,32.38
SY,15.02,15.45%,14.7,14.96
NAK,0.7908,12.97%,0.7875,0.79
W,288.98,11.99%,288,289.8
SPI,8.91,11.93%,8.67,8.83
WW,29.49,10.82%,29.45,29.5
RKT,21.85,9.80%,21.85,21.98
CZR,93.44,9.75%,93.6,94.06
MFH,7.36,8.55%,7.2,7.67
DRH,10.12,8.12%,10.02,10.16
RUN,62.58,7.93%,61.53,62.6
IIN,22.96,7.84%,18.5,30.16
LE,33.04,7.80%,30,34.3
GPP,10.13,7.77%,9,10.25
TSQ,10.9,7.28%,9.55,11.5
UVE,14.89,7.28%,13.5,17.89
RCG,2.55,7.14%,2.59,2.7
HOV,57.52,7.01%,51.77,62.75
OMP,19.15,6.98%,18,19.25
EGY,3.28,6.84%,3.18,3.3
TTD,805.39,6.73%,800.1,804.62
ON,40.27,6.70%,40,40.98
ZG,169.82,6.58%,169,170.29
KOD,129.01,6.55%,125,200
DQ,104.25,6.49%,103.01,105
Z,161.33,5.83%,160.03,161.32
IGT,18.29,5.60%,18.25,18.3
KLR,18.78,5.56%,18.55,19.5
SND,3.26,5.50%,3.2,3.25
DAC,41.54,5.43%,40.78,41.54
MEG,48.88,5.37%,42.1,56.19
TCS,15.33,5.36%,15.22,15.64
SJ,9.7,5.32%,8.9,10
SLM,15.79,5.27%,15.5,16.2
FET,21.35,5.02%,17.56,21.35
WWR,6.14,4.96%,6.03,6.05
PLL,67.17,4.85%,63.12,67
ESI,18.05,4.76%,16.15,18.6
ZS,205.03,4.72%,204.01,204.8
JBT,147.57,4.67%,110.75,175.08
OMI,34.01,4.65%,33.4,34.5
EB,19.87,4.58%,19.76,19.9
WIX,348.57,4.52%,348.57,350
NXQ,16.26,4.50%,15.44,4294.67
SGC,23.82,4.47%,23.96,30
CIK,3.32,4.40%,3.32,3.33
FAT,8.54,4.40%,8.1,9.5
LB,54.66,4.39%,54.66,54.9
CHS,2.69,4.26%,2.6,2.73
IDE,11.76,4.26%,11.5,12.09
KAI,174,4.25%,155.82,255.49
LDL,34.83,4.16%,35.35,35.6
NGM,26.72,4.09%,24.31,27.83
VFF,15.79,4.09%,15.6,15.9
MDC,56.57,4.03%,51.45,57.5
DY,76.58,4.01%,72,104
TNL,60.43,3.99%,58,60.43
MBI,7.3,3.99%,6.39,7.45
MAX,52.51,3.98%,52.51,54.94
MU,91.53,3.87%,91.42,91.5
DZZ,3.09,3.87%,2.97,5
NNI,72.6,3.86%,71,75.15
NBR,111.01,3.84%,105.31,111
SWI,16.19,3.78%,15.95,16.19
GLG,2.47,3.78%,2.4,2.48
RLJ,15.7,3.77%,14.5,17.25
WSC,27.73,3.74%,26.8,27.8
FUV,17.92,3.70%,17.37,17.9
GTS,25.3,3.69%,21.48,29.5
IEA,16.67,3.67%,16.2,16.6
RH,490.37,3.65%,487,491.68
SAH,46.11,3.62%,38,47
GSL,15.52,3.60%,15.55,16.3
JAX,8.75,3.55%,6,10.12
FOE,15.87,3.39%,12.15,18.01
MX,18.69,3.32%,18.3,19.25
RM,32.37,3.29%,23.39,36
VG,13.22,3.28%,12.5,13.28
GMS,36.6,3.27%,29,41.91
FDS,303.91,3.25%,297,330
TEL,130.03,3.25%,128.52,130.29
LEN,82.97,3.20%,82.78,83
ODT,21.05,3.19%,19.5,23.2
IAC,244.83,3.18%,216,264
DHI,76.87,3.14%,76.64,77
NET,73.97,3.14%,73.67,73.91
TGH,26.04,3.09%,26.04,26.27
VAC,169.71,3.02%,168.9,270
VRM,44.25,2.98%,42.6,44
EOT,21.78,2.98%,20.93,21.96
MGM,37.79,2.97%,37.81,37.84
VRT,20.93,2.95%,20.51,21.3
U,107.63,2.95%,106.85,107.35
PAR,86.88,2.94%,80.5,105.99
SPT,67.97,2.94%,64,74.15
SUM,27.71,2.93%,25.3,31.54
DMO,14.78,2.92%,13.92,15
FSI,3.88,2.92%,3,3.9
MAT,20.2,2.90%,20.2,20.44
LZB,42.61,2.90%,37.5,43.28
SHO,13.21,2.88%,12.4,14.44
EDN,3.93,2.88%,3.66,4.41
SFM,21.11,2.88%,21,21.8
SOI,11.81,2.87%,11.85,13.05
CUE,13.61,2.87%,12.01,13.99
TOL,53.42,2.83%,52.5,53.75
KBH,40.38,2.83%,40,40.85
TXG,177.99,2.82%,160,189
XPO,116.6,2.82%,116.6,116.8
MMD,21.88,2.82%,21.01,21.88
JKS,51.34,2.80%,51.1,51.2
MNP,15.47,2.79%,14.63,4294.67
INN,10.35,2.78%,10.35,10.6
CUK,22.56,2.78%,22.59,22.75
HPQ,28.97,2.77%,29,29.15
LOB,55.11,2.76%,54.01,56
ELY,27.95,2.76%,26.5,27.98
PAC,101.37,2.72%,90.2,122.4
CTS,32.17,2.71%,26.12,34.75
HVT,36.17,2.70%,18,37.4
GCI,4.95,2.70%,4.75,5.24
DHF,3.05,2.69%,3,3.05
SFE,7.65,2.68%,7.77,9.25
SIX,44.6,2.67%,44.61,47.15
PHM,45.11,2.66%,44.5,45.4
CHX,21.27,2.65%,18.01,22
EVH,20.15,2.65%,17.87,20.76
OFS,7.76,2.65%,7.5,11
MTH,84.31,2.63%,79.1,93.19
PK,21.75,2.59%,21.71,21.75
LMB,12.28,2.59%,11.09,12.3
TRN,32.1,2.59%,28.95,33.5
HY,85.55,2.56%,32.29,102.7
SSP,18.82,2.56%,18.75,19.75
ROG,181.48,2.55%,180.95,218.75
MHO,49.9,2.55%,49.5,57.01
TPH,19,2.54%,18.25,20.55
PI,63.97,2.53%,60.23,70
CTO,51.75,2.52%,47.44,56
KC,58.88,2.47%,55.87,58.87
GHC,600.83,2.45%,580.5,4294.67
ZM,373.61,2.43%,375.1,377
NUW,16.88,2.43%,16.12,4294.67
TWO,7.22,2.41%,7.17,7.2
SLG,69.07,2.39%,69,69.47
WWW,34.95,2.37%,29.6,41.35
TER,128.61,2.36%,126.1,131.6
WSM,131.29,2.36%,128,134.77
YRD,4.87,2.31%,4.7,5.04
FDP,25.74,2.31%,24.55,29.29
MGA,84.2,2.30%,82,85.99
NM,6.3,2.27%,5.85,6.3
HYI,15.4,2.26%,14.58,15.97
XHR,19.97,2.25%,14.02,21
TEO,5.96,2.23%,5.66,5.9
CMG,1442,2.22%,1435,1470
DPZ,346.51,2.22%,344.25,348.57
NMI,11.26,2.18%,10.93,11.75
OII,11.8,2.16%,11.4,12.3
DHY,2.37,2.16%,2.32,2.42
VCV,12.86,2.14%,12.8,13.25
RHP,77.29,2.14%,65,83.76
