Watchlist 'Russell 2000'

Russell 2000
Symbol,Last,%Change,Bid,Ask
RUBY,10.38,+29.43%,10.30,10.60
AMCX,65.59,+23.59%,65.66,66.40
SEM,31.65,+18.45%,31.20,32.38
GRPN,43.40,+17.39%,43.03,43.48
SLCA,13.31,+17.06%,13.10,13.45
AERI,18.39,+16.32%,17.47,18.45
OFLX,172.50,+16.16%,150.00,203.42
RYAM,9.25,+15.05%,9.25,9.39
ZIOP,5.33,+14.62%,5.42,5.52
MGNX,25.01,+14.31%,23.01,25.01
ELOX,4.51,+14.18%,3.75,4.84
APPS,82.57,+14.08%,81.51,82.00
DNLI,71.80,+13.97%,68.61,74.01
LTRPA,5.63,+13.28%,5.42,5.64
LPSN,65.62,+12.81%,65.12,67.00
LIVX,3.97,+12.15%,3.88,4.00
PLUG,48.38,+11.63%,47.71,47.73
RILY,65.82,+11.05%,65.24,84.75
WW,29.49,+10.82%,29.45,29.50
LMAT,51.39,+10.64%,43.00,62.99
ANAB,28.70,+10.47%,25.58,30.50
AMRX,5.39,+10.22%,5.33,5.63
MLSS,3.92,+10.11%,3.55,3.97
MORF,36.16,+10.08%,37.44,38.70
RCKY,43.59,+9.77%,26.48,49.77
VICR,98.49,+9.34%,84.00,102.95
SFIX,76.31,+9.11%,75.60,77.85
IRTC,160.90,+8.91%,139.56,160.88
CDMO,20.58,+8.60%,19.66,20.90
BBIO,70.68,+8.52%,45.00,72.97
DFIN,25.99,+8.52%,25.42,38.43
MBII,2.555,+8.26%,2.590,2.600
SEAS,49.66,+8.12%,47.65,50.00
DRH,10.12,+8.12%,10.02,10.16
RUN,62.58,+7.93%,61.53,62.60
IIN,22.96,+7.84%,18.50,30.16
LE,33.04,+7.80%,30.00,34.30
ICAD,18.49,+7.56%,13.02,22.00
DTIL,11.96,+7.46%,12.11,12.32
UVE,14.89,+7.28%,13.50,17.89
DVAX,8.75,+7.23%,8.75,8.82
RCKT,55.58,+7.17%,49.00,60.75
NOVA,44.84,+7.17%,43.06,45.70
RLGY,15.08,+6.95%,14.00,17.41
MAXR,47.85,+6.93%,47.30,47.80
APLS,48.17,+6.93%,44.20,56.40
ALTR,61.59,+6.80%,53.80,62.05
NTRA,116.09,+6.74%,112.10,116.50
SRRK,54.10,+6.69%,37.82,55.90
LYRA,14.92,+6.57%,13.55,15.00
KOD,129.01,+6.55%,125.00,200.00
BLDR,43.265,+6.54%,41.00,44.00
CHRS,16.24,+6.49%,15.35,16.70
PRTH,9.08,+6.45%,1.55,19.28
HOME,25.19,+6.42%,25.15,26.00
SGMS,46.83,+6.29%,.05,47.33
ARVN,78.30,+5.90%,69.01,81.00
ALLO,34.71,+5.86%,30.94,34.70
EGAN,11.62,+5.83%,10.53,12.29
ATNI,48.68,+5.80%,43.00,50.34
RICK,64.25,+5.69%,57.00,68.00
CCB,28.00,+5.66%,11.00,40.18
IGT,18.29,+5.60%,18.25,18.30
AFMD,5.67,+5.59%,5.67,5.80
REAL,25.54,+5.58%,24.80,25.95
PENN,115.78,+5.55%,115.56,115.99
CRNC,111.22,+5.48%,105.00,113.00
RCII,57.76,+5.42%,57.80,58.50
BYD,58.70,+5.39%,58.50,60.65
XNCR,49.27,+5.37%,40.98,54.32
TCS,15.33,+5.36%,15.22,15.64
HARP,19.29,+5.35%,18.87,19.54
NRIM,38.49,+5.31%,29.21,41.75
EOLS,12.11,+5.30%,11.65,12.48
