Watchlist 'SP500',,,,
,,,,
SP500,,,,
Symbol,Last,%Change,Bid,Ask
PBCT,18.06,15.18%,18.05,18.06
RCL,86.301,9.42%,86.28,86.32
AAL,20.375,9.07%,20.37,20.38
MRO,10.28,8.78%,10.28,10.29
VNO,40.24,8.03%,40.22,40.25
DISCA,54.83,7.95%,54.83,54.84
PFG,59.35,7.71%,59.34,59.36
NOV,14.99,6.84%,14.98,14.99
CCL,26.229,6.67%,26.22,26.23
NCLH,28.63,6.63%,28.62,28.63
APA,19.2,6.55%,19.19,19.2
EOG,66.46,6.32%,66.43,66.49
DISCK,45.5,6.31%,45.49,45.51
SLB,27.725,6.14%,27.72,27.73
ORCL,64.78,5.97%,64.77,64.78
COP,51.245,5.83%,51.23,51.24
PXD,141.44,5.60%,141.38,141.5
HAL,21.29,5.40%,21.29,21.3
FANG,69.06,5.32%,69.03,69.09
SLG,65.45,5.29%,65.45,65.49
VIAC,65.925,5.16%,65.92,65.93
MAR,143.185,5.07%,143.17,143.2
DAL,47.9,4.88%,47.9,47.91
HII,190.78,4.75%,190.71,190.85
VLO,74.77,4.53%,74.76,74.78
DIS,191.83,4.45%,191.82,191.88
OMC,70.61,4.38%,70.58,70.63
BXP,96.21,4.30%,96.19,96.22
MGM,37.96,4.23%,37.95,37.96
VRTX,215.75,4.22%,215.65,215.8
XOM,54.535,4.13%,54.53,54.54
UNM,26.66,4.10%,26.65,26.66
HFC,38.05,3.99%,38.04,38.06
LVS,62.5804,3.99%,62.57,62.59
PVH,97.695,3.95%,97.67,97.75
VTR,54.46,3.95%,54.45,54.47
TPR,41.005,3.92%,41,41.01
MPC,55.06,3.89%,55.05,55.07
GE,12.485,3.87%,12.48,12.49
FLT,283.9,3.85%,283.79,283.98
CAT,217.93,3.82%,217.9,217.96
RL,117.69,3.73%,117.68,117.8
AIG,44.165,3.72%,44.16,44.17
HSIC,66.12,3.72%,66.12,66.16
NWSA,23.315,3.62%,23.31,23.32
FIS,135.73,3.62%,135.71,135.76
SPG,113.375,3.61%,113.29,113.39
BK,43.845,3.60%,43.84,43.85
CBRE,75.355,3.59%,75.33,75.38
LUV,54.68,3.54%,54.68,54.69
ZION,53.53,3.54%,53.53,53.54
UAL,49.73,3.54%,49.72,49.74
IPG,26.445,3.46%,26.44,26.45
OXY,26.28,3.38%,26.27,26.28
WYNN,127.83,3.37%,127.82,127.88
RHI,81.0416,3.33%,81.04,81.1
NUE,59.95,3.29%,59.93,59.95
FOX,33.43,3.27%,33.43,33.44
BKR,24.165,3.27%,24.16,24.17
AOS,61.585,3.26%,61.57,61.6
WELL,70.62,3.26%,70.59,70.64
MTB,154.815,3.23%,154.76,154.87
LW,80.61,3.23%,80.59,80.65
MA,343.91,3.22%,343.81,343.91
BSX,39.245,3.19%,39.24,39.25
HES,65.57,3.13%,65.53,65.59
DOW,62.28,3.13%,62.27,62.28
TJX,69.8,3.12%,69.8,69.81
FOXA,34.83,3.11%,34.83,34.84
AXP,135.795,3.10%,135.78,135.81
URI,299,3.10%,298.85,299.18
LNC,57.26,3.06%,57.25,57.28
CVX,98.71,3.04%,98.7,98.71
HLT,120.3658,2.96%,120.36,120.4
NWS,23.05,2.86%,23.04,23.06
KIM,18.165,2.80%,18.16,18.17
MDT,116.47,2.77%,116.45,116.48
APTV,158,2.73%,157.94,158.05
STT,73.89,2.72%,73.87,73.9
CF,46.995,2.70%,46.99,47
ZBH,160.89,2.69%,160.88,160.97
SYY,78.76,2.67%,78.74,78.78
LYB,102.87,2.64%,102.83,102.86
PRU,86.3211,2.64%,86.32,86.33
PSX,84.48,2.64%,84.48,84.51
TFC,59.09,2.62%,59.08,59.1
GPS,24.7801,2.61%,24.78,24.79
MET,57.525,2.59%,57.52,57.53
CMA,68.44,2.59%,68.42,68.45
BKNG,2352.185,2.58%,2350.02,2354.35
J,115.3,2.57%,115.25,115.35
CI,209.41,2.52%,209.31,209.5
FISV,114.15,2.51%,114.12,114.15
L,49.24,2.46%,49.23,49.26
AFL,49.25,2.43%,49.25,49.26
XRX,24.235,2.43%,24.23,24.24
BIIB,285.1,2.43%,284.93,285.2
V,209.6825,2.42%,209.7,209.75
ETN,130.89,2.42%,130.85,130.9
DVN,21.33,2.40%,21.32,21.33
REG,54.065,2.40%,54.05,54.08
K,59.28,2.37%,59.27,59.28
