Watchlist 'Test List',,,,
,,,,
Test List,,,,
Symbol,Last,%Change,Bid,Ask
CLCT,91.66,17.81%,91.71,91.81
NFLX,586.34,16.85%,585.6,585.67
BZH,18.36,16.65%,18.02,18.92
EXPI,92.36,15.87%,91.11,92.4
ARAY,5.38,13.03%,5.4,5.45
TPH,20.63,12.49%,20.51,20.63
FUTU,89.96,10.97%,89.99,90
APPS,64.37,10.85%,64.6,64.65
MDC,53.11,8.68%,50,58.14
DT,47.3,7.99%,47.3,48
PAAS,31.82,7.75%,31.77,31.98
KBH,40.51,7.37%,40.5,40.9
CLNE,10.6,6.64%,10.66,10.68
PRLB,191.46,6.56%,194.46,196.99
IVZ,21.57,6.52%,21.33,21.6
SSRM,18.11,6.47%,17.92,18.22
PHM,46.69,6.09%,46.21,47.11
PVG,10.92,6.02%,10.5,10.92
PAGS,58.07,5.79%,57.25,60.18
JKS,67.03,5.74%,66.4,67.2
TOL,48.66,5.51%,48.65,48.99
BABA,265.49,5.50%,265.85,266
LEN,82.53,5.48%,82.32,82.83
GOOG,1886.9,5.36%,1888.15,1901
GOOGL,1880.07,5.36%,1883.3,1899.91
AU,23.44,5.35%,23.38,23.56
DHI,75.11,5.33%,75,75.75
DDOG,104.28,5.24%,104,105.49
REGI,91.26,5.16%,92.68,92.96
MGA,75.84,4.64%,75,75.96
ANGI,12.31,4.59%,12.1,12.35
SFT,8.45,4.58%,8.35,8.45
AMZN,3263.38,4.57%,3270,3273.99
JD,95.31,4.56%,95.83,95.95
VRRM,13.61,4.41%,13.58,13.99
TTWO,207.05,4.19%,206.1,207.5
BIDU,260.9,4.18%,264.4,264.5
SBH,14.4,4.12%,14.03,14.79
AEM,71.31,4.12%,71.12,72.5
GOEV,17.36,4.08%,17.37,17.45
AGI,8.24,4.04%,8.25,8.41
BWA,40.88,4.02%,38.35,41.18
CSIQ,57.22,3.98%,57,57.95
VICI,26.37,3.94%,25.47,26.72
RHI,66.69,3.88%,2,71.83
WIT,6.57,3.79%,6.43,6.85
GFI,9.36,3.77%,9.34,9.48
PTON,155.79,3.76%,155.65,156.2
LULU,355.12,3.76%,355.12,356
SBSW,17.15,3.75%,16.99,17.25
TSN,66.25,3.68%,66.05,67
MSFT,224.34,3.65%,225.27,225.5
DOC,18.22,3.64%,17.9,18.24
PPC,20.07,3.61%,20,20.05
MAS,58.43,3.60%,57.2,58.63
BRX,17.43,3.57%,15.9,17.43
PEAK,30.16,3.46%,29,31.25
CI,228.42,3.45%,228.42,229.29
PPBI,36.47,3.43%,35.76,47.32
ILMN,403.54,3.42%,402.55,408
FOXA,31.02,3.37%,30.55,31.02
FSM,7.68,3.36%,7.74,7.75
PII,117,3.35%,117.1,119.22
STNE,82.55,3.29%,83,84
AAPL,132.03,3.29%,132.92,133
EGO,11.69,3.27%,11.69,11.7
IEA,22.99,3.23%,22.47,23.59
TRMB,71.42,3.22%,71.25,71.61
YETI,71.35,3.15%,71.51,71.65
SSNC,69.11,3.15%,68.63,71.66
MPW,22.02,3.14%,22.02,22.17
DRE,39.9,3.13%,37.62,52.01
SEE,44.56,3.10%,43.25,45
ZTO,31.07,3.09%,30.81,31.79
CRM,223.44,3.08%,223.8,224.1
CPRX,3.69,3.07%,3.56,3.73
COLD,35.21,3.04%,34.7,36
SAND,6.87,3.00%,6.8,6.95
BJ,41.66,2.97%,41.27,41.8
EA,145.6,2.95%,144.3,145.82
DELL,77.05,2.93%,77,77.45
UNFI,23.6,2.92%,23.25,23.9
ADBE,469.73,2.90%,469.73,471.7
HRB,16.88,2.86%,16.7,16.9
KGC,7.19,2.86%,7.2,7.24
SBUX,105.46,2.85%,105.46,105.85
TROX,16.8,2.82%,16.87,19.87
WB,42.71,2.77%,42.36,42.94
CWH,32.69,2.77%,32.75,32.9
MA,334.91,2.75%,335.01,336.99
LOGI,100.4,2.73%,100.03,100.2
AUY,5.27,2.73%,5.26,5.28
AMH,31.27,2.73%,29.3,31.4
ISBC,11.7,2.72%,11.65,11.8
FSR,,,,
IDN,,,,
